粵拼,意思及例子,粵研社（粵語協會）,侯興泉
kap1,（從上往下）蓋：～印（蓋章）,扱,
kau1,混合：～埋，水～油（水火不容）,溝,
kau1,追求，把，泡：～女，～仔,媾,
ke4,奇怪、離奇，本字奇離,騎,
kei2,家：屋～,企,
kei5,站：～起身（站起來）,企,
keoi5,他，她，它，牠，祂：～哋（他們）,佢,
kin2,揭開，翻開：～起個蓋（揭開蓋）、～咗幾頁（翻了幾頁）,㨴,
king4,受驚或受挫而目瞪口呆：眼～～,擎,
king4,凝固成固體或弄干水分：豬油～咗、～干水（把水分去掉）,瓊,
kiu2,繞口：～口,翹,
kiu2,【1】巧合：有咁啱得咁～（說多巧有多巧）【2】秘訣：～妙,巧,
kiu5,纏繞：啲綫～住咗（綫相互纏住了）,繑,
koeng5,粗根：有根有～,蔃,
kok1,【1】敲：～頭殼（敲腦袋）【2】象聲詞：～～聲,搉,
kwaai4,壞，不良：～仔（不良少年）,壞,
kwan1,欺騙：俾人～（被騙）,昆,
kwan2,圍繞：手指～晒黑邊（手指甲很髒）,緄,
kwang3,絆、碰：唔小心～到個花樽,纊,
laa3,隙：鑽窿鑽～（到處鑽）,罅,
laa3,助詞，相當於「了」：我識做～（我懂得怎樣做了）,喇,
laa5,（手段）骯髒：好～䕢（渣），～䕢手段,哪/揦,
laai1,最後的一個：～仔（最小的兒子）、～屘（倒數第一）,孻,
laai2,舔：～一下，～嘢（中招）,瀨,
laai4,累：攰～～,賴,
laai6,圓條狀粗米粉：～粉,瀨,
laai6,不能控制地大小便：～尿,瀨,
laai6,漏了：～低條鎖匙（漏了帶鑰匙）,攋,
laak,能言善辯，流利：～～聲,勒,
laak3,助詞，相當於「了」，一般表示肯定或有把握：我識做～（我懂得怎樣做了）,嘞,
laam2,擁抱：～身～勢,攬,
laam3,跨過：大步～過,檻,
laan1,爬：啲蟲躝嚟躝去、～出去！（滾出去！）,躝,
laang1,象聲詞：～～聲、～鐘（鬧鐘）,唥,
laap3,短時間地看一下，驟看上去：～吓眼、～到佢喺附近（瞥見他在附近）,䁽,
laap3,順手地抓、拿：～～埋埋一大堆（收刮了不少東西）、～住佢隻手（順手捉住他的手）,擸,
laat6,行：一～樹,迾,
laat6,骯髒：～遢,邋,
laau2,麻煩，凌亂：～攪（lau2）,撈,
lai2,歪曲、冤枉：～橫折曲（顛倒是非黑白）、冤～（冤枉），狼～，睏～頸,𡅏,
lai2,轉：～手掟咗佢（轉過手就扔掉它）,捩,
lai4,來：過～、行～行去（走來走去）,嚟,
lai6,怒目而視：眼～～,厲,
lak1,高低不平或結巴，～确,甩,
lak6,刺：玫瑰花好多～,簕,
lam1,甜蜜：好～、～女（哄女孩子）,冧,
lam3,倒：撞～（撞倒）、～樓（樓房倒塌）,冧,
lam6,堆起，連續：～起啲積木（堆起積木）、～莊（連莊）,冧,
lan2,男性生殖器，引申為罵人語，粗俗語氣助詞：含～，～樣，好～熱,撚/𨶙,
lang3,【1】阻礙、拖累：佗手～脚【2】量詞，形容數目眾多的一堆東西：一搊二～（手上提滿東西）、一～鎖匙,掕,
lap1,帽子、覆蓋物：～衫（過頭穿的衣服）、執～（破產）,笠,
lat1,脫：～手（脫手）、～褲（褲不小心掉下來）、～底（放鴿子）,甩,
lau1,【1】大衣：皮～（皮大衣）【2】披大衣：～返件衫啦（披上大衣吧）,褸,
lau3,逗，主動招惹：～佢講嘢,嘍,
le1,英文level首音節之音譯字，等級：升～（升級），高～（高級）,呢,
lei6,舌頭：豬脷（豬舌頭）,脷,
lek1,聰明、能幹：你眞係～（你眞行）、～仔（聰明能幹的小伙子）,叻,
lem2,舔：～雪糕，～～脷（好味道）,舐/lem,
leng1,小子，有時有看不起人的意思：～仔，～模（嫩模，少女模特兒）,𡃁,
leng3,美、好：～女（美女）、～仔（俊男）、心情好靚（心情很好）,靚,
leoi1,跌倒，倒下：～低,擂,
leon1,用口吸或啃乾淨骨頭周圍的肉，有時也可用於其它食物：～鷄脚、～骨,噒,
leon6,行動不靈活，行事不爽利：～盡（源自龍鍾或踉蹌）,論,
lin5,掐，按，握：～住條頸，～骨，～實,鍊,
ling1,拿、取：～畀我（拿來給我）,拎,
lip1,音譯自英文lift，電梯,𨋢,
lit3,結：打死～（打死結）,纈,
liu1,～哥（八哥鳥）,鷯,
liu1,用細長的東西挖：～鼻屎（挖鼻屎）、～牙（用牙籤剔除牙垢）,撩,
liu2,用細長的東西攪拌：～吓杯咖啡（攪拌一下咖啡）,撩,
liu4,惹：～是鬥非（惹是生非）、～佢講也嘢（逗他説話）,撩,
lo1,語氣詞，表示粵語獨有的一種陳述或感嘆語氣：做咪做～（做就做唄，有點不情願）、咁咪係～（那不就是嘛！）,囉,
lo2,拿：～錢（取錢）、～住（拿着）,攞,
lo3,句末助詞，表示祈使邀請或肯定陳述語氣：陪我去行街～。（陪我逛街吧）今次大鑊～。（這次大件事了）,咯,
lo4,語氣詞，表示粵語獨有的一種陳述語氣：佢話你唔啱～（他說你不對呀，稍微強調使他說的）,囉,
loe1/loe2,費盡唇舌請求、哀求：扭計～買嘢,𦧲,
loek1,佔便宜，榨取金錢：～水,掠,
lok1,脫：～你棚牙！（令你啞口無言）,落,
long1,蠻橫無理，抓狂：～戾,狼,
long4,狠、貪婪：佢打交好～（他打架很狠）、食飯好～（吃飯狼吞虎咽的貪婪樣子）,狼,
long6,～衫（晾衣服）、～蚊帳（掛蚊帳）,晾,
lou1,鍋底的黑灰：鑊～,撈,
lou2,對成年男人的稱呼，通常帶有不尊重的意味：肥～（胖子）、差～（警察）、外省～（外省人）,佬,
lou3,代詞，有「那」的意思：又呢又～（又這又那），現在較為少用,噜,
luk1,量詞，一大根：一～木（一根木頭）、一～葛（形容笨）,碌,
luk1,瞪：～大眼（瞪大眼）、眼～～（眼球圓瞪瞪的樣子）,睩,
luk1,【1】名詞「輪子」：車～【2】動詞「轉輪狀物、滾動」：個波喺度～（球在滾）、部車～過去（車的輪子從上面滾過）,轆,
luk6,用熱水或熱的液體燙：～吓筷子（燙一下筷子消毒）、～吓啲菜（那些菜滾一下）、滾水～腳、畀熱水～親,淥,
lung1,洞，孔穴：穿～（穿了洞）、鑽[gyun1]～鑽[gyun1]罅（到處去）,窿,
lyun1,不直、曲：～毛（卷曲頭髮）,攣,
lyut3,手握着東西向一端抹：～高衫袖、～鬍鬚,捋,
m4,不：～好、～得、～緊要（不要緊）,唔,
maa1,雙的：～仔（孿生兒子）、打～嚟（兩個一起來）,孖,
maa4,奶奶：阿～、太～（曾祖母）,嫲,
maa5,機靈黠慧：鬼～,馬,
